date,hour_interval,mean_temp
2015-01-27,0400-0800,21.333333333333332
2015-01-27,0800-1200,24.363636363636363
2015-01-27,1200-1600,28.25
2015-01-27,1600-2000,26.0
2015-01-27,2000-0000,17.4
2015-01-28,0000-0400,17.5
2015-01-28,0400-0800,17.25
2015-01-28,0800-1200,22.75
2015-01-28,1200-1600,31.75
2015-01-28,1600-2000,31.5
2015-01-28,2000-0000,21.4
2015-01-29,0000-0400,22.25
2015-01-29,0400-0800,20.0
2015-01-29,0800-1200,27.25
2015-01-29,1200-1600,31.6
2015-01-29,1600-2000,33.0
2015-01-29,2000-0000,29.625
2015-01-30,0000-0400,33.333333333333336
2015-01-30,0400-0800,33.75
2015-01-30,0800-1200,33.1
2015-01-30,1200-1600,36.8
2015-01-30,1600-2000,30.0
2015-01-30,2000-0000,16.4
2015-01-31,0000-0400,17.25
2015-01-31,0400-0800,13.75
2015-01-31,0800-1200,16.75
2015-01-31,1200-1600,25.0
2015-01-31,1600-2000,23.5
2015-01-31,2000-0000,16.6
2015-02-01,0000-0400,21.5
2015-02-01,0400-0800,24.5
2015-02-01,0800-1200,31.75
2015-02-01,1200-1600,35.25
2015-02-01,1600-2000,35.25
2015-02-01,2000-0000,30.76923076923077
2015-02-02,0000-0400,33.0
2015-02-02,0400-0800,31.785714285714285
2015-02-02,0800-1200,29.176470588235293
2015-02-02,1200-1600,25.5
2015-02-02,1600-2000,22.75
2015-02-02,2000-0000,12.2
2015-02-03,0000-0400,13.25
2015-02-03,0400-0800,15.25
2015-02-03,0800-1200,18.75
2015-02-03,1200-1600,23.25
2015-02-03,1600-2000,24.0
2015-02-03,2000-0000,19.8
2015-02-04,0000-0400,25.5
2015-02-04,0400-0800,28.5
2015-02-04,0800-1200,34.75
2015-02-04,1200-1600,37.75
2015-02-04,1600-2000,40.5
2015-02-04,2000-0000,33.6
2015-02-05,0000-0400,41.0
2015-02-05,0400-0800,35.5
2015-02-05,0800-1200,29.5
2015-02-05,1200-1600,27.25
2015-02-05,1600-2000,21.75
2015-02-05,2000-0000,12.2
2015-02-06,0000-0400,13.0
2015-02-06,0400-0800,12.5
2015-02-06,0800-1200,17.5
2015-02-06,1200-1600,24.75
2015-02-06,1600-2000,26.25
2015-02-06,2000-0000,20.4
2015-02-07,0000-0400,26.5
2015-02-07,0400-0800,28.0
2015-02-07,0800-1200,29.5
2015-02-07,1200-1600,32.375
2015-02-07,1600-2000,37.25
2015-02-07,2000-0000,29.0
2015-02-08,0000-0400,34.5
2015-02-08,0400-0800,34.4
2015-02-08,0800-1200,35.666666666666664
2015-02-08,1200-1600,34.375
2015-02-08,1600-2000,34.8
2015-02-08,2000-0000,26.666666666666668
2015-02-09,0000-0400,27.4
2015-02-09,0400-0800,25.5
2015-02-09,0800-1200,26.5
2015-02-09,1200-1600,27.0
2015-02-09,1600-2000,27.0
2015-02-09,2000-0000,21.2
2015-02-10,0000-0400,26.25
2015-02-10,0400-0800,26.25
2015-02-10,0800-1200,29.0
2015-02-10,1200-1600,37.25
2015-02-10,1600-2000,35.25
2015-02-10,2000-0000,24.4
2015-02-11,0000-0400,26.25
2015-02-11,0400-0800,22.75
2015-02-11,0800-1200,26.25
2015-02-11,1200-1600,32.25
2015-02-11,1600-2000,31.0
2015-02-11,2000-0000,23.0
2015-02-12,0000-0400,29.5
2015-02-12,0400-0800,30.75
2015-02-12,0800-1200,34.0
2015-02-12,1200-1600,36.18181818181818
2015-02-12,1600-2000,33.5
2015-02-12,2000-0000,17.6
2015-02-13,0000-0400,11.75
2015-02-13,0400-0800,8.75
2015-02-13,0800-1200,12.75
2015-02-13,1200-1600,19.25
2015-02-13,1600-2000,19.75
2015-02-13,2000-0000,13.8
2015-02-14,0000-0400,18.0
2015-02-14,0400-0800,21.5
2015-02-14,0800-1200,27.25
2015-02-14,1200-1600,30.166666666666668
2015-02-14,1600-2000,29.0
2015-02-14,2000-0000,25.272727272727273
2015-02-15,0000-0400,22.11111111111111
2015-02-15,0400-0800,14.25
2015-02-15,0800-1200,16.75
2015-02-15,1200-1600,18.5
2015-02-15,1600-2000,10.75
2015-02-15,2000-0000,3.6
2015-02-16,0000-0400,4.0
2015-02-16,0400-0800,4.0
2015-02-16,0800-1200,10.5
2015-02-16,1200-1600,19.5
2015-02-16,1600-2000,20.0
2015-02-16,2000-0000,15.2
2015-02-17,0000-0400,17.125
2015-02-17,0400-0800,15.181818181818182
2015-02-17,0800-1200,18.416666666666668
2015-02-17,1200-1600,25.75
2015-02-17,1600-2000,26.0
2015-02-17,2000-0000,19.8
2015-02-18,0000-0400,21.75
2015-02-18,0400-0800,19.75
2015-02-18,0800-1200,25.75
2015-02-18,1200-1600,29.75
2015-02-18,1600-2000,28.714285714285715
2015-02-18,2000-0000,25.22222222222222
2015-02-19,0000-0400,21.5
2015-02-19,0400-0800,16.5
2015-02-19,0800-1200,19.0
2015-02-19,1200-1600,21.0
2015-02-19,1600-2000,15.75
2015-02-19,2000-0000,8.4
2015-02-20,0000-0400,4.5
2015-02-20,0400-0800,2.25
2015-02-20,0800-1200,8.0
2015-02-20,1200-1600,17.75
2015-02-20,1600-2000,17.5
2015-02-20,2000-0000,11.8
2015-02-21,0000-0400,14.5
2015-02-21,0400-0800,17.5
2015-02-21,0800-1200,23.5
2015-02-21,1200-1600,26.90909090909091
2015-02-21,1600-2000,28.625
2015-02-21,2000-0000,27.90909090909091
2015-02-22,0000-0400,32.75
2015-02-22,0400-0800,32.07142857142857
2015-02-22,0800-1200,33.3
2015-02-22,1200-1600,41.25
2015-02-22,1600-2000,40.25
2015-02-22,2000-0000,31.2
2015-02-23,0000-0400,35.0
