date,hour_interval,total_precip
2015-05-16,0800-1200,0.0
2015-05-16,1200-1600,0.0
2015-05-16,1600-2000,0.03
2015-05-16,2000-0000,0.4100000000000001
2015-05-17,0000-0400,0.07
2015-05-17,0400-0800,0.0
2015-05-17,0800-1200,0.0
2015-05-17,1200-1600,0.0
2015-05-17,1600-2000,0.0
2015-05-17,2000-0000,0.0
2015-05-18,0000-0400,0.0
2015-05-18,0400-0800,0.0
2015-05-18,0800-1200,0.0
2015-05-18,1200-1600,0.0
2015-05-18,1600-2000,0.0
2015-05-18,2000-0000,0.0
2015-05-19,0000-0400,0.0
2015-05-19,0400-0800,0.0
2015-05-19,0800-1200,0.0
2015-05-19,1200-1600,0.0
2015-05-19,1600-2000,0.0
2015-05-19,2000-0000,0.0
2015-05-20,0000-0400,0.0
2015-05-20,0400-0800,0.0
2015-05-20,0800-1200,0.0
2015-05-20,1200-1600,0.0
2015-05-20,1600-2000,0.0
2015-05-20,2000-0000,0.0
2015-05-21,0000-0400,0.0
2015-05-21,0400-0800,0.0
2015-05-21,0800-1200,0.0
2015-05-21,1200-1600,0.0
2015-05-21,1600-2000,0.0
2015-05-21,2000-0000,0.0
2015-05-22,0000-0400,0.0
2015-05-22,0400-0800,0.0
2015-05-22,0800-1200,0.0
2015-05-22,1200-1600,0.0
2015-05-22,1600-2000,0.0
2015-05-22,2000-0000,0.0
2015-05-23,0000-0400,0.0
2015-05-23,0400-0800,0.0
2015-05-23,0800-1200,0.0
2015-05-23,1200-1600,0.0
2015-05-23,1600-2000,0.0
2015-05-23,2000-0000,0.0
2015-05-24,0000-0400,0.0
2015-05-24,0400-0800,0.0
2015-05-24,0800-1200,0.0
2015-05-24,1200-1600,0.0
2015-05-24,1600-2000,0.0
2015-05-24,2000-0000,0.0
2015-05-25,0000-0400,0.0
2015-05-25,0400-0800,0.0
2015-05-25,0800-1200,0.0
2015-05-25,1200-1600,0.0
2015-05-25,1600-2000,0.0
2015-05-25,2000-0000,0.0
2015-05-26,0000-0400,0.0
2015-05-26,0400-0800,0.0
2015-05-26,0800-1200,0.0
2015-05-26,1200-1600,0.0
2015-05-26,1600-2000,0.0
2015-05-26,2000-0000,0.0
2015-05-27,0000-0400,0.0
2015-05-27,0400-0800,0.0
2015-05-27,0800-1200,0.0
2015-05-27,1200-1600,0.0
2015-05-27,1600-2000,0.05
2015-05-27,2000-0000,0.03
2015-05-28,0000-0400,0.0
2015-05-28,0400-0800,0.0
2015-05-28,0800-1200,0.0
2015-05-28,1200-1600,0.0
2015-05-28,1600-2000,0.0
2015-05-28,2000-0000,0.0
2015-05-29,0000-0400,0.0
2015-05-29,0400-0800,0.0
2015-05-29,0800-1200,0.0
2015-05-29,1200-1600,0.0
2015-05-29,1600-2000,0.0
2015-05-29,2000-0000,0.0
2015-05-30,0000-0400,0.0
2015-05-30,0400-0800,0.0
2015-05-30,0800-1200,0.0
2015-05-30,1200-1600,0.0
2015-05-30,1600-2000,0.0
2015-05-30,2000-0000,0.0
2015-05-31,0000-0400,0.0
2015-05-31,0400-0800,0.0
2015-05-31,0800-1200,0.01
2015-05-31,1200-1600,0.31
2015-05-31,1600-2000,3.0599999999999996
2015-05-31,2000-0000,0.27
2015-06-01,0000-0400,0.93
2015-06-01,0400-0800,0.03
2015-06-01,0800-1200,0.49
2015-06-01,1200-1600,0.0
2015-06-01,1600-2000,0.02
2015-06-01,2000-0000,0.06
2015-06-02,0000-0400,0.14
2015-06-02,0400-0800,0.05
2015-06-02,0800-1200,0.0
2015-06-02,1200-1600,0.09999999999999999
2015-06-02,1600-2000,0.12
2015-06-02,2000-0000,0.04
2015-06-03,0000-0400,0.0
2015-06-03,0400-0800,0.0
2015-06-03,0800-1200,0.0
2015-06-03,1200-1600,0.0
2015-06-03,1600-2000,0.0
2015-06-03,2000-0000,0.0
2015-06-04,0000-0400,0.0
2015-06-04,0400-0800,0.0
2015-06-04,0800-1200,0.0
2015-06-04,1200-1600,0.0
2015-06-04,1600-2000,0.0
2015-06-04,2000-0000,0.0
2015-06-05,0000-0400,0.0
2015-06-05,0400-0800,0.0
2015-06-05,0800-1200,0.44
2015-06-05,1200-1600,0.02
2015-06-05,1600-2000,0.0
2015-06-05,2000-0000,0.0
2015-06-06,0000-0400,0.0
2015-06-06,0400-0800,0.5700000000000001
2015-06-06,0800-1200,0.0
2015-06-06,1200-1600,0.0
2015-06-06,1600-2000,0.0
2015-06-06,2000-0000,0.0
2015-06-07,0000-0400,0.0
2015-06-07,0400-0800,0.0
2015-06-07,0800-1200,0.0
2015-06-07,1200-1600,0.0
2015-06-07,1600-2000,0.0
2015-06-07,2000-0000,0.0
2015-06-08,0000-0400,0.0
2015-06-08,0400-0800,0.0
2015-06-08,0800-1200,0.01
2015-06-08,1200-1600,0.0
2015-06-08,1600-2000,0.0
2015-06-08,2000-0000,0.05
2015-06-09,0000-0400,0.01
2015-06-09,0400-0800,0.0
2015-06-09,0800-1200,0.0
2015-06-09,1200-1600,0.0
2015-06-09,1600-2000,0.0
2015-06-09,2000-0000,0.0
2015-06-10,0000-0400,0.0
2015-06-10,0400-0800,0.0
2015-06-10,0800-1200,0.0
2015-06-10,1200-1600,0.0
2015-06-10,1600-2000,0.0
2015-06-10,2000-0000,0.0
2015-06-11,0000-0400,0.0
2015-06-11,0400-0800,0.0
2015-06-11,0800-1200,0.0
2015-06-11,1200-1600,0.0
2015-06-11,1600-2000,0.0
2015-06-11,2000-0000,0.0
2015-06-12,0000-0400,0.0
2015-06-12,0400-0800,0.0
2015-06-12,0800-1200,0.0
2015-06-12,1200-1600,0.0
2015-06-12,1600-2000,0.0
2015-06-12,2000-0000,0.0
2015-06-13,0000-0400,0.0
2015-06-13,0400-0800,0.0
2015-06-13,0800-1200,0.0
2015-06-13,1200-1600,0.0
2015-06-13,1600-2000,0.0
2015-06-13,2000-0000,0.0
2015-06-14,0000-0400,0.0
2015-06-14,0400-0800,0.0
2015-06-14,0800-1200,0.0
2015-06-14,1200-1600,0.0
2015-06-14,1600-2000,0.0
2015-06-14,2000-0000,0.7300000000000002
2015-06-15,0000-0400,1.4600000000000002
2015-06-15,0400-0800,0.01
2015-06-15,0800-1200,0.0
2015-06-15,1200-1600,0.29000000000000004
2015-06-15,1600-2000,0.01
2015-06-15,2000-0000,0.0
2015-06-16,0000-0400,0.0
2015-06-16,0400-0800,0.0
2015-06-16,0800-1200,0.0
2015-06-16,1200-1600,0.04
2015-06-16,1600-2000,0.53
2015-06-16,2000-0000,0.0
2015-06-17,0000-0400,0.0
2015-06-17,0400-0800,0.0
2015-06-17,0800-1200,0.0
2015-06-17,1200-1600,0.0
2015-06-17,1600-2000,0.0
2015-06-17,2000-0000,0.0
2015-06-18,0000-0400,0.0
2015-06-18,0400-0800,0.0
2015-06-18,0800-1200,0.0
2015-06-18,1200-1600,0.0
2015-06-18,1600-2000,0.0
2015-06-18,2000-0000,0.0
2015-06-19,0000-0400,0.0
2015-06-19,0400-0800,0.0
2015-06-19,0800-1200,0.0
2015-06-19,1200-1600,0.0
2015-06-19,1600-2000,0.0
2015-06-19,2000-0000,0.0
2015-06-20,0000-0400,0.0
2015-06-20,0400-0800,0.0
2015-06-20,0800-1200,0.0
2015-06-20,1200-1600,0.0
2015-06-20,1600-2000,0.0
2015-06-20,2000-0000,0.0
2015-06-21,0000-0400,0.63
2015-06-21,0400-0800,0.38000000000000006
2015-06-21,0800-1200,0.0
2015-06-21,1200-1600,0.0
2015-06-21,1600-2000,0.01
2015-06-21,2000-0000,1.12
2015-06-22,0000-0400,0.0
2015-06-22,0400-0800,0.0
2015-06-22,0800-1200,0.0
2015-06-22,1200-1600,0.0
2015-06-22,1600-2000,0.0
2015-06-22,2000-0000,0.0
2015-06-23,0000-0400,0.0
2015-06-23,0400-0800,0.0
2015-06-23,0800-1200,0.0
2015-06-23,1200-1600,0.0
2015-06-23,1600-2000,0.02
2015-06-23,2000-0000,0.0
2015-06-24,0000-0400,0.0
2015-06-24,0400-0800,0.0
2015-06-24,0800-1200,0.0
2015-06-24,1200-1600,0.0
2015-06-24,1600-2000,0.0
2015-06-24,2000-0000,0.0
2015-06-25,0000-0400,0.0
2015-06-25,0400-0800,0.0
2015-06-25,0800-1200,0.0
2015-06-25,1200-1600,0.0
2015-06-25,1600-2000,0.0
2015-06-25,2000-0000,0.0
2015-06-26,0000-0400,0.0
2015-06-26,0400-0800,0.0
2015-06-26,0800-1200,0.0
2015-06-26,1200-1600,0.0
2015-06-26,1600-2000,0.0
2015-06-26,2000-0000,0.0
2015-06-27,0000-0400,0.0
2015-06-27,0400-0800,0.0
2015-06-27,0800-1200,0.0
2015-06-27,1200-1600,0.05
2015-06-27,1600-2000,1.3599999999999999
2015-06-27,2000-0000,1.2600000000000002
2015-06-28,0000-0400,0.5700000000000001
2015-06-28,0400-0800,0.03
2015-06-28,0800-1200,0.0
2015-06-28,1200-1600,0.0
2015-06-28,1600-2000,0.0
2015-06-28,2000-0000,0.0
2015-06-29,0000-0400,0.0
2015-06-29,0400-0800,0.0
2015-06-29,0800-1200,0.0
2015-06-29,1200-1600,0.0
2015-06-29,1600-2000,0.0
2015-06-29,2000-0000,0.0
2015-06-30,0000-0400,0.0
2015-06-30,0400-0800,0.0
2015-06-30,0800-1200,0.0
2015-06-30,1200-1600,0.0
2015-06-30,1600-2000,0.0
2015-06-30,2000-0000,0.08
2015-07-01,0000-0400,1.85
2015-07-01,0400-0800,0.01
2015-07-01,0800-1200,0.0
2015-07-01,1200-1600,0.0
2015-07-01,1600-2000,0.0
2015-07-01,2000-0000,0.0
2015-07-02,0000-0400,0.0
2015-07-02,0400-0800,0.0
2015-07-02,0800-1200,0.0
2015-07-02,1200-1600,0.0
2015-07-02,1600-2000,0.0
2015-07-02,2000-0000,0.0
2015-07-03,0000-0400,0.0
2015-07-03,0400-0800,0.0
2015-07-03,0800-1200,0.0
2015-07-03,1200-1600,0.0
2015-07-03,1600-2000,0.0
2015-07-03,2000-0000,0.0
2015-07-04,0000-0400,0.0
2015-07-04,0400-0800,0.0
2015-07-04,0800-1200,0.0
2015-07-04,1200-1600,0.0
2015-07-04,1600-2000,0.0
2015-07-04,2000-0000,0.0
2015-07-05,0000-0400,0.0
2015-07-05,0400-0800,0.0
2015-07-05,0800-1200,0.0
2015-07-05,1200-1600,0.0
2015-07-05,1600-2000,0.0
2015-07-05,2000-0000,0.0
2015-07-06,0000-0400,0.0
2015-07-06,0400-0800,0.0
2015-07-06,0800-1200,0.0
2015-07-06,1200-1600,0.0
2015-07-06,1600-2000,0.0
2015-07-06,2000-0000,0.0
2015-07-07,0000-0400,0.0
2015-07-07,0400-0800,0.0
2015-07-07,0800-1200,0.0
2015-07-07,1200-1600,0.05
2015-07-07,1600-2000,0.39
2015-07-07,2000-0000,0.0
2015-07-08,0000-0400,0.0
2015-07-08,0400-0800,0.0
2015-07-08,0800-1200,0.0
2015-07-08,1200-1600,0.0
2015-07-08,1600-2000,0.0
2015-07-08,2000-0000,0.0
2015-07-09,0000-0400,0.0
2015-07-09,0400-0800,0.01
2015-07-09,0800-1200,0.0
2015-07-09,1200-1600,0.0
2015-07-09,1600-2000,0.14
2015-07-09,2000-0000,0.53
2015-07-10,0000-0400,0.0
2015-07-10,0400-0800,0.0
2015-07-10,0800-1200,0.0
2015-07-10,1200-1600,0.0
2015-07-10,1600-2000,0.0
2015-07-10,2000-0000,0.0
2015-07-11,0000-0400,0.0
2015-07-11,0400-0800,0.0
2015-07-11,0800-1200,0.0
2015-07-11,1200-1600,0.0
2015-07-11,1600-2000,0.0
2015-07-11,2000-0000,0.0
2015-07-12,0000-0400,0.0
2015-07-12,0400-0800,0.0
2015-07-12,0800-1200,0.0
2015-07-12,1200-1600,0.0
2015-07-12,1600-2000,0.0
2015-07-12,2000-0000,0.0
2015-07-13,0000-0400,0.0
2015-07-13,0400-0800,0.0
2015-07-13,0800-1200,0.0
2015-07-13,1200-1600,0.0
2015-07-13,1600-2000,0.0
2015-07-13,2000-0000,0.0
2015-07-14,0000-0400,0.0
2015-07-14,0400-0800,0.0
2015-07-14,0800-1200,0.02
2015-07-14,1200-1600,2.2
2015-07-14,1600-2000,0.0
2015-07-14,2000-0000,0.0
2015-07-15,0000-0400,0.0
2015-07-15,0400-0800,0.0
2015-07-15,0800-1200,0.48
2015-07-15,1200-1600,0.0
2015-07-15,1600-2000,0.0
2015-07-15,2000-0000,0.0
2015-07-16,0000-0400,0.0
2015-07-16,0400-0800,0.0
2015-07-16,0800-1200,0.0
2015-07-16,1200-1600,0.0
2015-07-16,1600-2000,0.0
2015-07-16,2000-0000,0.0
2015-07-17,0000-0400,0.0
2015-07-17,0400-0800,0.0
2015-07-17,0800-1200,0.0
2015-07-17,1200-1600,0.0
2015-07-17,1600-2000,0.0
2015-07-17,2000-0000,0.0
2015-07-18,0000-0400,0.0
2015-07-18,0400-0800,0.31
2015-07-18,0800-1200,0.29000000000000004
2015-07-18,1200-1600,0.0
2015-07-18,1600-2000,0.0
2015-07-18,2000-0000,0.0
2015-07-19,0000-0400,0.0
2015-07-19,0400-0800,0.0
2015-07-19,0800-1200,0.0
2015-07-19,1200-1600,0.0
2015-07-19,1600-2000,0.0
2015-07-19,2000-0000,0.0
2015-07-20,0000-0400,0.0
2015-07-20,0400-0800,0.0
2015-07-20,0800-1200,0.0
2015-07-20,1200-1600,0.0
2015-07-20,1600-2000,0.0
2015-07-20,2000-0000,0.0
2015-07-21,0000-0400,0.0
2015-07-21,0400-0800,0.0
2015-07-21,0800-1200,0.0
2015-07-21,1200-1600,0.0
2015-07-21,1600-2000,0.0
2015-07-21,2000-0000,0.0
2015-07-22,0000-0400,0.0
2015-07-22,0400-0800,0.0
2015-07-22,0800-1200,0.0
2015-07-22,1200-1600,0.0
2015-07-22,1600-2000,0.0
2015-07-22,2000-0000,0.0
2015-07-23,0000-0400,0.0
2015-07-23,0400-0800,0.0
2015-07-23,0800-1200,0.0
2015-07-23,1200-1600,0.0
2015-07-23,1600-2000,0.0
2015-07-23,2000-0000,0.0
2015-07-24,0000-0400,0.0
2015-07-24,0400-0800,0.0
2015-07-24,0800-1200,0.0
2015-07-24,1200-1600,0.0
2015-07-24,1600-2000,0.0
2015-07-24,2000-0000,0.0
2015-07-25,0000-0400,0.0
2015-07-25,0400-0800,0.0
2015-07-25,0800-1200,0.0
2015-07-25,1200-1600,0.0
2015-07-25,1600-2000,0.0
2015-07-25,2000-0000,0.0
2015-07-26,0000-0400,0.0
2015-07-26,0400-0800,0.0
2015-07-26,0800-1200,0.0
2015-07-26,1200-1600,0.0
2015-07-26,1600-2000,0.0
2015-07-26,2000-0000,0.0
2015-07-27,0000-0400,0.72
2015-07-27,0400-0800,0.0
2015-07-27,0800-1200,0.0
2015-07-27,1200-1600,0.0
2015-07-27,1600-2000,0.0
2015-07-27,2000-0000,0.0
2015-07-28,0000-0400,0.0
2015-07-28,0400-0800,0.0
2015-07-28,0800-1200,0.0
2015-07-28,1200-1600,0.0
2015-07-28,1600-2000,0.0
2015-07-28,2000-0000,0.0
2015-07-29,0000-0400,0.0
2015-07-29,0400-0800,0.0
2015-07-29,0800-1200,0.0
2015-07-29,1200-1600,0.0
2015-07-29,1600-2000,0.0
2015-07-29,2000-0000,0.0
2015-07-30,0000-0400,0.0
2015-07-30,0400-0800,0.01
2015-07-30,0800-1200,0.09
2015-07-30,1200-1600,3.7199999999999993
2015-07-30,1600-2000,0.19
2015-07-30,2000-0000,0.0
2015-07-31,0000-0400,0.0
2015-07-31,0400-0800,0.0
2015-07-31,0800-1200,0.0
2015-07-31,1200-1600,0.0
2015-07-31,1600-2000,0.0
2015-07-31,2000-0000,0.0
2015-08-01,0000-0400,0.0
2015-08-01,0400-0800,0.0
2015-08-01,0800-1200,0.0
2015-08-01,1200-1600,0.0
2015-08-01,1600-2000,0.0
2015-08-01,2000-0000,0.0
2015-08-02,0000-0400,0.0
2015-08-02,0400-0800,0.0
2015-08-02,0800-1200,0.0
2015-08-02,1200-1600,0.0
2015-08-02,1600-2000,0.0
2015-08-02,2000-0000,0.0
2015-08-03,0000-0400,0.0
2015-08-03,0400-0800,0.0
2015-08-03,0800-1200,0.0
2015-08-03,1200-1600,0.0
2015-08-03,1600-2000,0.0
2015-08-03,2000-0000,0.0
2015-08-04,0000-0400,1.89
2015-08-04,0400-0800,0.0
2015-08-04,0800-1200,0.0
2015-08-04,1200-1600,0.0
2015-08-04,1600-2000,0.0
2015-08-04,2000-0000,0.0
2015-08-05,0000-0400,0.0
2015-08-05,0400-0800,0.0
2015-08-05,0800-1200,0.0
2015-08-05,1200-1600,0.0
2015-08-05,1600-2000,0.0
2015-08-05,2000-0000,0.0
2015-08-06,0000-0400,0.0
2015-08-06,0400-0800,0.0
2015-08-06,0800-1200,0.0
2015-08-06,1200-1600,0.0
2015-08-06,1600-2000,0.0
2015-08-06,2000-0000,0.0
2015-08-07,0000-0400,0.0
2015-08-07,0400-0800,0.0
2015-08-07,0800-1200,0.0
2015-08-07,1200-1600,0.0
2015-08-07,1600-2000,0.0
2015-08-07,2000-0000,0.0
2015-08-08,0000-0400,0.0
2015-08-08,0400-0800,0.0
2015-08-08,0800-1200,0.0
2015-08-08,1200-1600,0.0
2015-08-08,1600-2000,0.0
2015-08-08,2000-0000,0.0
2015-08-09,0000-0400,0.0
2015-08-09,0400-0800,0.0
2015-08-09,0800-1200,0.0
2015-08-09,1200-1600,0.0
2015-08-09,1600-2000,0.0
2015-08-09,2000-0000,0.0
2015-08-10,0000-0400,0.0
2015-08-10,0400-0800,0.0
2015-08-10,0800-1200,0.0
2015-08-10,1200-1600,0.0
2015-08-10,1600-2000,0.0
2015-08-10,2000-0000,0.0
2015-08-11,0000-0400,0.0
2015-08-11,0400-0800,3.2799999999999994
2015-08-11,0800-1200,0.7799999999999999
2015-08-11,1200-1600,0.0
2015-08-11,1600-2000,0.0
2015-08-11,2000-0000,0.0
2015-08-12,0000-0400,0.0
2015-08-12,0400-0800,0.0
2015-08-12,0800-1200,0.0
2015-08-12,1200-1600,0.0
2015-08-12,1600-2000,0.0
2015-08-12,2000-0000,0.0
2015-08-13,0000-0400,0.0
2015-08-13,0400-0800,0.0
2015-08-13,0800-1200,0.0
2015-08-13,1200-1600,0.0
2015-08-13,1600-2000,0.0
2015-08-13,2000-0000,0.0
2015-08-14,0000-0400,0.0
2015-08-14,0400-0800,0.0
2015-08-14,0800-1200,0.0
2015-08-14,1200-1600,0.0
2015-08-14,1600-2000,0.0
2015-08-14,2000-0000,0.0
2015-08-15,0000-0400,0.0
2015-08-15,0400-0800,0.0
2015-08-15,0800-1200,0.0
2015-08-15,1200-1600,0.0
2015-08-15,1600-2000,0.0
2015-08-15,2000-0000,0.0
2015-08-16,0000-0400,0.0
2015-08-16,0400-0800,0.0
2015-08-16,0800-1200,0.0
2015-08-16,1200-1600,0.0
2015-08-16,1600-2000,0.0
2015-08-16,2000-0000,0.0
2015-08-17,0000-0400,0.0
2015-08-17,0400-0800,0.0
2015-08-17,0800-1200,0.0
2015-08-17,1200-1600,0.0
2015-08-17,1600-2000,0.0
2015-08-17,2000-0000,0.0
2015-08-18,0000-0400,0.09
2015-08-18,0400-0800,0.42000000000000004
2015-08-18,0800-1200,0.0
2015-08-18,1200-1600,0.0
2015-08-18,1600-2000,0.0
2015-08-18,2000-0000,0.0
2015-08-19,0000-0400,0.0
2015-08-19,0400-0800,0.0
2015-08-19,0800-1200,0.0
2015-08-19,1200-1600,0.0
2015-08-19,1600-2000,0.0
2015-08-19,2000-0000,0.0
2015-08-20,0000-0400,0.0
2015-08-20,0400-0800,0.0
2015-08-20,0800-1200,0.0
2015-08-20,1200-1600,0.0
2015-08-20,1600-2000,0.0
2015-08-20,2000-0000,0.01
2015-08-21,0000-0400,0.45999999999999996
2015-08-21,0400-0800,0.0
2015-08-21,0800-1200,0.0
2015-08-21,1200-1600,0.0
2015-08-21,1600-2000,0.0
2015-08-21,2000-0000,0.0
2015-08-22,0000-0400,0.0
2015-08-22,0400-0800,0.0
2015-08-22,0800-1200,0.0
2015-08-22,1200-1600,0.0
2015-08-22,1600-2000,0.0
2015-08-22,2000-0000,0.0
2015-08-23,0000-0400,0.0
2015-08-23,0400-0800,0.0
2015-08-23,0800-1200,0.0
2015-08-23,1200-1600,0.0
2015-08-23,1600-2000,0.0
2015-08-23,2000-0000,0.0
2015-08-24,0000-0400,0.0
2015-08-24,0400-0800,0.0
2015-08-24,0800-1200,0.0
2015-08-24,1200-1600,0.0
2015-08-24,1600-2000,0.0
2015-08-24,2000-0000,0.0
2015-08-25,0000-0400,0.0
2015-08-25,0400-0800,0.0
2015-08-25,0800-1200,0.0
2015-08-25,1200-1600,0.0
2015-08-25,1600-2000,0.0
2015-08-25,2000-0000,0.0
2015-08-26,0000-0400,0.0
2015-08-26,0400-0800,0.0
2015-08-26,0800-1200,0.0
2015-08-26,1200-1600,0.0
2015-08-26,1600-2000,0.0
2015-08-26,2000-0000,0.0
2015-08-27,0000-0400,0.0
2015-08-27,0400-0800,0.0
2015-08-27,0800-1200,0.0
2015-08-27,1200-1600,0.0
2015-08-27,1600-2000,0.0
2015-08-27,2000-0000,0.0
2015-08-28,0000-0400,0.0
2015-08-28,0400-0800,0.0
2015-08-28,0800-1200,0.0
2015-08-28,1200-1600,0.0
2015-08-28,1600-2000,0.0
2015-08-28,2000-0000,0.0
2015-08-29,0000-0400,0.0
2015-08-29,0400-0800,0.0
2015-08-29,0800-1200,0.0
2015-08-29,1200-1600,0.0
2015-08-29,1600-2000,0.0
2015-08-29,2000-0000,0.0
2015-08-30,0000-0400,0.0
2015-08-30,0400-0800,0.0
2015-08-30,0800-1200,0.0
2015-08-30,1200-1600,0.0
2015-08-30,1600-2000,0.0
2015-08-30,2000-0000,0.35000000000000003
2015-08-31,0000-0400,0.0
2015-08-31,0400-0800,0.0
2015-08-31,0800-1200,0.0
2015-08-31,1200-1600,0.0
2015-08-31,1600-2000,0.0
2015-08-31,2000-0000,0.0
2015-09-01,0000-0400,0.0
2015-09-01,0400-0800,0.0
2015-09-01,0800-1200,0.0
2015-09-01,1200-1600,0.0
2015-09-01,1600-2000,0.0
2015-09-01,2000-0000,0.0
2015-09-02,0000-0400,0.0
2015-09-02,0400-0800,0.0
2015-09-02,0800-1200,0.0
2015-09-02,1200-1600,0.0
2015-09-02,1600-2000,0.0
2015-09-02,2000-0000,0.0
2015-09-03,0000-0400,0.0
2015-09-03,0400-0800,0.0
2015-09-03,0800-1200,0.0
2015-09-03,1200-1600,0.0
2015-09-03,1600-2000,0.0
2015-09-03,2000-0000,0.0
2015-09-04,0000-0400,0.0
2015-09-04,0400-0800,0.0
2015-09-04,0800-1200,0.0
2015-09-04,1200-1600,0.0
2015-09-04,1600-2000,0.0
2015-09-04,2000-0000,0.0
2015-09-05,0000-0400,0.0
2015-09-05,0400-0800,0.0
2015-09-05,0800-1200,0.0
2015-09-05,1200-1600,0.0
2015-09-05,1600-2000,0.0
2015-09-05,2000-0000,0.0
2015-09-06,0000-0400,0.0
2015-09-06,0400-0800,0.0
2015-09-06,0800-1200,0.0
2015-09-06,1200-1600,0.0
2015-09-06,1600-2000,0.0
2015-09-06,2000-0000,0.0
2015-09-07,0000-0400,0.0
2015-09-07,0400-0800,0.0
2015-09-07,0800-1200,0.0
2015-09-07,1200-1600,0.0
2015-09-07,1600-2000,0.0
2015-09-07,2000-0000,0.0
2015-09-08,0000-0400,0.0
2015-09-08,0400-0800,0.0
2015-09-08,0800-1200,0.0
2015-09-08,1200-1600,0.0
2015-09-08,1600-2000,0.0
2015-09-08,2000-0000,0.0
2015-09-09,0000-0400,0.0
2015-09-09,0400-0800,0.0
2015-09-09,0800-1200,0.0
2015-09-09,1200-1600,0.0
2015-09-09,1600-2000,0.0
2015-09-09,2000-0000,0.0
2015-09-10,0000-0400,2.2300000000000004
2015-09-10,0400-0800,0.28
2015-09-10,0800-1200,0.060000000000000005
2015-09-10,1200-1600,0.06
2015-09-10,1600-2000,0.25
2015-09-10,2000-0000,0.36000000000000004
2015-09-11,0000-0400,0.0
2015-09-11,0400-0800,0.0
2015-09-11,0800-1200,0.0
2015-09-11,1200-1600,0.0
2015-09-11,1600-2000,0.0
2015-09-11,2000-0000,0.0
2015-09-12,0000-0400,0.0
2015-09-12,0400-0800,0.0
2015-09-12,0800-1200,0.0
2015-09-12,1200-1600,0.0
2015-09-12,1600-2000,0.81
2015-09-12,2000-0000,0.09
2015-09-13,0000-0400,0.0
2015-09-13,0400-0800,0.0
2015-09-13,0800-1200,0.0
2015-09-13,1200-1600,0.1
2015-09-13,1600-2000,0.0
2015-09-13,2000-0000,0.0
2015-09-14,0000-0400,0.0
2015-09-14,0400-0800,0.0
2015-09-14,0800-1200,0.0
2015-09-14,1200-1600,0.0
2015-09-14,1600-2000,0.0
2015-09-14,2000-0000,0.0
2015-09-15,0000-0400,0.0
2015-09-15,0400-0800,0.0
2015-09-15,0800-1200,0.0
2015-09-15,1200-1600,0.0
2015-09-15,1600-2000,0.0
2015-09-15,2000-0000,0.0
2015-09-16,0000-0400,0.0
2015-09-16,0400-0800,0.0
2015-09-16,0800-1200,0.0
2015-09-16,1200-1600,0.0
2015-09-16,1600-2000,0.0
2015-09-16,2000-0000,0.0
2015-09-17,0000-0400,0.0
2015-09-17,0400-0800,0.0
2015-09-17,0800-1200,0.0
2015-09-17,1200-1600,0.0
2015-09-17,1600-2000,0.0
2015-09-17,2000-0000,0.0
2015-09-18,0000-0400,0.0
2015-09-18,0400-0800,0.0
2015-09-18,0800-1200,0.0
2015-09-18,1200-1600,0.0
2015-09-18,1600-2000,0.0
2015-09-18,2000-0000,0.0
2015-09-19,0000-0400,0.0
2015-09-19,0400-0800,0.0
2015-09-19,0800-1200,0.0
2015-09-19,1200-1600,0.0
2015-09-19,1600-2000,0.0
2015-09-19,2000-0000,0.0
2015-09-20,0000-0400,0.0
2015-09-20,0400-0800,0.0
2015-09-20,0800-1200,0.0
2015-09-20,1200-1600,0.0
2015-09-20,1600-2000,0.0
2015-09-20,2000-0000,0.0
2015-09-21,0000-0400,0.0
2015-09-21,0400-0800,0.0
2015-09-21,0800-1200,0.0
2015-09-21,1200-1600,0.0
2015-09-21,1600-2000,0.0
2015-09-21,2000-0000,0.0
2015-09-22,0000-0400,0.0
2015-09-22,0400-0800,0.0
2015-09-22,0800-1200,0.0
2015-09-22,1200-1600,0.0
2015-09-22,1600-2000,0.0
2015-09-22,2000-0000,0.0
2015-09-23,0000-0400,0.0
2015-09-23,0400-0800,0.0
2015-09-23,0800-1200,0.0
2015-09-23,1200-1600,0.0
2015-09-23,1600-2000,0.0
2015-09-23,2000-0000,0.0
2015-09-24,0000-0400,0.0
2015-09-24,0400-0800,0.0
2015-09-24,0800-1200,0.0
2015-09-24,1200-1600,0.0
2015-09-24,1600-2000,0.0
2015-09-24,2000-0000,0.0
2015-09-25,0000-0400,0.0
2015-09-25,0400-0800,0.0
2015-09-25,0800-1200,0.0
2015-09-25,1200-1600,0.0
2015-09-25,1600-2000,0.0
2015-09-25,2000-0000,0.0
2015-09-26,0000-0400,0.0
2015-09-26,0400-0800,0.0
2015-09-26,0800-1200,0.0
2015-09-26,1200-1600,0.0
2015-09-26,1600-2000,0.0
2015-09-26,2000-0000,0.0
2015-09-27,0000-0400,0.0
2015-09-27,0400-0800,0.0
2015-09-27,0800-1200,0.0
2015-09-27,1200-1600,0.0
2015-09-27,1600-2000,0.0
2015-09-27,2000-0000,0.0
2015-09-28,0000-0400,0.0
2015-09-28,0400-0800,0.0
2015-09-28,0800-1200,0.0
2015-09-28,1200-1600,0.0
2015-09-28,1600-2000,0.0
2015-09-28,2000-0000,0.0
2015-09-29,0000-0400,0.0
2015-09-29,0400-0800,0.0
