date,hour_interval,total_precip
2015-01-27,2000-0000,0.0
2015-01-28,0000-0400,0.0
2015-01-28,0400-0800,0.0
2015-01-28,0800-1200,0.0
2015-01-28,1200-1600,0.0
2015-01-28,1600-2000,0.0
2015-01-28,2000-0000,0.0
2015-01-29,0000-0400,0.0
2015-01-29,0400-0800,0.0
2015-01-29,0800-1200,0.0
2015-01-29,1200-1600,0.0
2015-01-29,1600-2000,0.0
2015-01-29,2000-0000,0.03
2015-01-30,0000-0400,0.13999999999999999
2015-01-30,0400-0800,0.0
2015-01-30,0800-1200,0.02
2015-01-30,1200-1600,0.0
2015-01-30,1600-2000,0.0
2015-01-30,2000-0000,0.0
2015-01-31,0000-0400,0.0
2015-01-31,0400-0800,0.0
2015-01-31,0800-1200,0.0
2015-01-31,1200-1600,0.0
2015-01-31,1600-2000,0.0
2015-01-31,2000-0000,0.0
2015-02-01,0000-0400,0.0
2015-02-01,0400-0800,0.0
2015-02-01,0800-1200,0.0
2015-02-01,1200-1600,0.0
2015-02-01,1600-2000,0.0
2015-02-01,2000-0000,0.08999999999999998
2015-02-02,0000-0400,0.32999999999999996
2015-02-02,0400-0800,1.0500000000000003
2015-02-02,0800-1200,0.5100000000000001
2015-02-02,1200-1600,0.13999999999999999
2015-02-02,1600-2000,0.0
2015-02-02,2000-0000,0.0
2015-02-03,0000-0400,0.0
2015-02-03,0400-0800,0.0
2015-02-03,0800-1200,0.0
2015-02-03,1200-1600,0.0
2015-02-03,1600-2000,0.0
2015-02-03,2000-0000,0.0
2015-02-04,0000-0400,0.0
2015-02-04,0400-0800,0.0
2015-02-04,0800-1200,0.0
2015-02-04,1200-1600,0.0
2015-02-04,1600-2000,0.0
2015-02-04,2000-0000,0.0
2015-02-05,0000-0400,0.0
2015-02-05,0400-0800,0.0
2015-02-05,0800-1200,0.0
2015-02-05,1200-1600,0.0
2015-02-05,1600-2000,0.0
2015-02-05,2000-0000,0.0
2015-02-06,0000-0400,0.0
2015-02-06,0400-0800,0.0
2015-02-06,0800-1200,0.0
2015-02-06,1200-1600,0.0
2015-02-06,1600-2000,0.0
2015-02-06,2000-0000,0.0
2015-02-07,0000-0400,0.0
2015-02-07,0400-0800,0.0
2015-02-07,0800-1200,0.03
2015-02-07,1200-1600,0.0
2015-02-07,1600-2000,0.0
2015-02-07,2000-0000,0.0
2015-02-08,0000-0400,0.0
2015-02-08,0400-0800,0.0
2015-02-08,0800-1200,0.0
2015-02-08,1200-1600,0.0
2015-02-08,1600-2000,0.0
2015-02-08,2000-0000,0.0
2015-02-09,0000-0400,0.0
2015-02-09,0400-0800,0.06
2015-02-09,0800-1200,0.03
2015-02-09,1200-1600,0.0
2015-02-09,1600-2000,0.0
2015-02-09,2000-0000,0.0
2015-02-10,0000-0400,0.0
2015-02-10,0400-0800,0.02
2015-02-10,0800-1200,0.0
2015-02-10,1200-1600,0.0
2015-02-10,1600-2000,0.0
2015-02-10,2000-0000,0.0
2015-02-11,0000-0400,0.0
2015-02-11,0400-0800,0.0
2015-02-11,0800-1200,0.0
2015-02-11,1200-1600,0.0
