CMPLNT_NUM, ID
100502300,150
114432859,47
136574542,4
140897100,62
144135293,45
150503634,150
152610687,150
158357383,86
169315671,27
218223075,4
225148402,150
249276124,95
262375201,169
281283543,66
296057938,150
304771288,123
312971474,133
324046605,169
337786163,88
344105122,150
357160955,64
361156132,150
418166983,162
456439438,33
456439438,35
486866957,53
528776599,27
538455518,88
555604707,33
555604707,35
570408159,61
590592448,21
593517872,27
607593847,150
621363684,61
676629153,66
740320967,4
755240591,84
762446857,169
766566306,13
786704074,7
793064712,150
793854862,177
799818677,1
804543945,135
834221204,150
857388885,6
871502669,31
881759336,65
881759336,160
888092046,169
902522438,96
906417444,58
941204514,1
943764141,150
945350371,177
964622119,45
974638548,177
978572963,123
999259229,13
999989523,64
110502020,153
144595465,140
214701845,95
223612604,152
239448611,161
242427576,6
301919411,177
326041336,47
329584475,1
353180052,150
365764909,66
377374322,177
383673182,13
423118051,83
423445652,169
431079894,169
435002788,40
450647483,120
457531641,146
473975646,161
501451800,161
531866395,27
553450206,12
554864020,15
591090818,66
601384124,27
617345756,136
619029657,177
626225448,67
640649435,67
649432352,169
660741346,169
679227160,150
700130311,47
706549000,1
723011348,13
739161232,109
744946405,169
745080067,72
801925514,45
839182645,12
862772889,150
873604760,150
883081776,40
906335610,105
909829462,21
945750390,150
952061600,27
966098884,150
976232192,169
979938665,51
987292054,27
102565358,100
126869690,177
143469926,169
166320648,88
168976774,1
174556274,45
188837772,13
190603920,10
200118488,177
229869200,161
243198042,150
244859950,169
318115557,169
385256704,177
393397077,27
416271469,130
427301478,6
463843088,177
477498743,13
480002010,12
493557378,123
494634487,177
539881712,147
547812548,40
556368847,1
568196710,150
594333985,161
618534430,6
638135764,13
673616319,169
717947519,12
762304902,177
763538230,169
780073898,150
785828824,150
809535138,1
816932451,15
887747152,135
916960169,150
946805371,65
946805371,160
971005054,62
978643071,177
982123157,47
987370947,150
127312293,150
155263939,164
159489066,164
164908727,66
171276051,58
178855959,135
183875721,146
186064713,169
224760887,169
228595529,13
229055126,27
298804620,47
304232120,139
309158023,150
318061721,27
328271689,13
336023640,83
337630708,150
357441397,150
360092661,13
360721717,97
387497439,64
396185814,47
414982349,120
416521718,150
418112464,145
421781420,1
450664262,120
525722817,150
530975190,150
553921680,150
554306012,169
576019372,150
588201152,150
604040308,53
607161943,150
612974158,28
621012634,150
625567308,177
639404713,169
645035170,169
659962214,13
678686899,1
681888821,169
682814937,6
685696992,153
688368562,13
704529729,129
707708639,150
719649154,67
725573295,24
778695926,27
786983999,150
787947024,20
792112773,45
809306272,150
817412395,27
822445731,107
897090755,1
964704791,40
100754401,64
106482004,165
115965918,6
128659087,47
142749331,150
151116685,13
161854844,150
189512577,150
191953461,13
212081255,150
215843458,7
231829580,83
250609000,45
252681944,150
264168665,74
272126517,150
288569667,150
290603367,27
324281986,163
330243080,13
373510876,16
374280060,8
387682953,169
433073620,150
468423791,150
482277995,169
499977999,6
502046516,12
507577849,65
507577849,160
556976340,150
570380606,33
570380606,35
575277132,177
581855002,161
582523679,150
595416189,62
596745832,150
599185282,65
599185282,160
620440838,58
622361871,13
631080718,150
647479108,150
663353665,150
667173821,61
731295050,161
753406943,27
764539535,135
767915757,97
770310577,1
790444730,150
794467267,95
800729384,150
847204550,169
853299277,28
867195995,169
946006040,13
990341906,177
991169982,62
105260363,150
110139536,161
155322395,24
156406780,66
168163833,27
178124084,107
189123057,58
195354902,13
208636715,127
219060675,150
229190931,9
240251797,150
242583123,66
242724047,15
258861080,13
277695448,88
283170432,150
287555726,1
307589257,9
309104692,163
314419284,13
315381052,140
333363652,140
334533746,65
334533746,160
352258670,53
366777511,150
372270550,150
384638855,1
394655334,150
425497384,13
490058083,150
492294416,58
492680191,17
519418650,21
520783565,177
529128719,144
539525446,27
539702184,135
540555128,81
571644664,1
619074892,15
636946840,1
676098304,33
676098304,35
677021610,1
686807275,4
701189076,28
713864126,13
719701402,4
756838583,13
785325854,169
788685421,9
794398799,45
801665359,6
861426124,13
890697746,177
899021270,150
904273473,150
955268234,177
970928742,177
971207059,65
971207059,160
973751482,4
982511987,53
138471577,21
159068919,66
163719992,177
225783833,150
232289417,9
248201704,169
285831240,20
307832853,97
328180880,45
332211410,150
334912615,9
339918288,45
398271402,40
404100559,8
435189509,1
443147708,169
462137328,120
486839062,8
496745925,146
525429281,130
529938505,146
530963288,169
546660701,150
551442367,169
576676609,177
633846498,125
661288001,150
708600632,13
709828429,150
758513523,169
777067256,177
799062398,1
836296527,13
841333505,27
851138404,169
856533229,6
916409914,61
920315863,26
931756797,13
946745004,105
983835764,150
991875447,123
156343788,47
169109994,146
191895713,29
195615176,128
201140489,4
203008970,169
215177740,182
221144661,6
237333938,150
253096094,33
253096094,35
269850390,67
297557706,9
314827759,27
314887633,177
326957577,150
339754859,66
372678465,57
373680586,146
374517800,150
378058146,27
398128862,8
420030029,123
474190022,150
496812843,62
497286307,13
504628264,37
551057592,66
559760690,133
568543907,8
585854051,48
593832866,15
625946079,146
631092865,56
724981718,145
792627229,58
808365228,169
809797748,21
812651265,40
821846350,47
842160175,27
844483247,150
855904553,169
870658244,8
913805115,5
914937208,13
923235777,177
939336778,1
976820240,169
977255169,61
984218018,169
994832340,177
182916742,126
191293123,12
196202419,4
209227853,150
230850967,150
305934202,16
306014750,45
306787599,128
312870656,169
319776786,150
353691601,13
369023811,150
378325688,182
391480652,177
409015653,144
423721714,150
441070719,150
471365223,58
485984437,18
488638233,13
508306856,147
537200076,1
548609371,1
572837116,161
599793791,120
611259852,150
613419665,107
636884997,24
652863028,161
662298495,177
697087360,169
698416033,146
732308132,117
748191596,58
754430172,47
761981787,115
769961245,12
787417847,165
791766827,150
808887091,150
842185515,4
843869996,16
858438873,135
892112261,66
896142115,169
914389298,61
932479883,13
939618711,150
128649772,27
129760943,182
150742498,27
159545268,165
161869738,150
174778443,150
180439366,66
181619924,145
192343601,150
201886154,13
201973664,8
211393745,13
255282097,161
297232760,135
303251981,9
334774316,1
335154921,9
341416749,27
345116276,150
345429988,123
349775718,9
359793824,46
378261896,53
401553232,118
407980462,47
418927432,66
463829793,45
471161210,146
491187295,150
512535650,150
567640399,150
595724000,150
635653430,6
646008686,150
671560032,150
707666344,177
722359392,150
761576507,150
768352924,146
789544416,12
805987208,17
824472293,150
879703345,74
897107398,1
902386957,64
906437053,51
960358193,1
976623204,37
103798069,161
150740017,12
182545521,45
224879305,120
248705746,48
264217757,21
281180384,6
294621838,13
343080355,177
359803130,47
368821198,45
371463428,150
401444363,45
436155052,10
466021751,7
467239677,47
517893060,83
534541267,53
587077553,169
590539117,9
621881878,120
636733188,88
659974393,65
659974393,160
682553090,150
699962430,88
703371589,150
707151621,43
709686952,150
723207642,27
750706038,43
797867760,45
806515624,129
864281271,27
871507699,150
871735198,150
873163592,146
905845950,6
947436217,161
981673622,150
114167013,150
122106730,16
164355700,65
164355700,160
165485352,47
195572255,66
245570272,27
304356179,146
310443163,150
317479568,13
323631211,65
323631211,160
335765146,4
356648921,1
378352916,27
392365490,150
417198006,123
418477969,6
437753602,150
440300851,97
457081269,27
467796073,62
544876098,76
606677516,27
627750964,150
677721940,40
680674384,9
700259115,13
719076718,177
750707789,45
763444588,158
766832720,150
772605010,12
777001887,13
789207406,150
851514441,12
877294824,27
880842586,95
886798494,150
918149191,150
921319984,15
923878665,66
928347897,177
961110339,150
961394024,21
965132753,81
966089882,118
974032026,74
988263305,145
100097184,27
109046384,16
122366822,10
135729311,177
153598213,150
160764214,65
160764214,160
174459732,9
181629423,150
196670580,12
197445686,177
200805027,27
210298391,150
219646496,150
240249393,1
240642254,1
241156115,21
261149684,125
262812755,15
270595194,169
274682320,150
304490094,150
318233732,95
326930080,47
327873372,21
345198989,177
350805270,15
357309999,30
377134801,150
380364269,169
381139146,150
391542758,150
394298038,139
401648561,30
456028245,177
487591485,61
487858647,150
508861408,1
523468518,133
548296841,62
572997505,169
633871586,146
696646516,169
723137860,123
741859012,177
745408354,123
746324552,169
765678440,33
765678440,35
772890768,83
774982149,177
776549488,150
781926328,45
802042366,61
803153759,13
806951019,177
808307022,6
879332979,83
894775279,9
911741097,27
926487866,13
939366424,45
953980436,177
991259751,13
130849320,84
135769598,56
175128526,120
189766449,13
195477863,27
202457832,12
203993512,45
212779186,18
221633823,169
235880874,53
264636799,4
305812627,16
305948902,47
308197260,45
341003302,150
354691378,177
356760490,27
380295249,177
386754991,13
390289688,177
414924209,150
527702407,117
535261609,65
535261609,160
554336617,169
579603691,120
581319149,45
590765753,177
612424444,96
616831232,9
617946477,74
635920344,169
640022325,135
652830861,182
698011104,150
710987164,177
718220629,46
749330089,1
755147769,13
785854809,150
799995861,150
829512342,24
843418331,127
873963203,150
926488031,177
938175642,58
978573124,177
984916882,13
990160465,24
107388890,9
120300533,135
145331033,9
147544425,150
154492107,57
157210518,12
173272487,126
193246518,13
203296000,6
205720068,58
215006079,33
215006079,35
227231417,24
235149466,57
235980318,20
265084923,150
271535738,13
274921545,27
295724983,57
304425168,150
307512922,150
308708794,95
313318160,20
337063916,83
343382020,150
351648606,24
386467325,62
392154716,66
406304355,91
447032433,72
471534665,150
480417184,144
486932314,13
517842814,47
528837525,27
549735803,123
573989519,27
605753189,150
607681713,13
614023542,150
630393466,6
642175427,67
643890806,40
644817848,27
650971180,15
654439190,13
697783843,47
701374860,150
777591629,13
777931083,169
812953912,45
838808889,6
858586178,20
860135847,88
888188279,150
912295797,177
918110574,150
940564648,33
940564648,35
941270076,47
946209795,169
982509587,12
986315814,27
124766966,7
130106986,150
166779241,6
166847423,47
181560547,74
220085986,61
227799885,150
245944006,169
246179008,120
255087088,1
258219524,150
266242991,13
266524635,13
305550621,177
323788391,58
368668697,1
381400262,4
382753848,67
386178985,88
405729506,177
406853457,45
408707057,150
409840574,150
412856633,13
415595132,47
443594243,67
463469813,74
469896945,45
489942024,1
490700609,135
517614864,60
536903821,47
551943102,9
559067156,42
577444474,150
590162028,47
599302984,1
609774897,172
640099762,18
644451582,1
656809454,58
663159793,6
676024713,91
680803798,150
688425239,45
689908782,1
705126011,117
785789632,150
789610389,13
799984019,29
827635373,169
832003840,177
832879686,15
836963384,24
842898256,135
844813576,122
863137855,6
888838610,20
890539414,150
893844342,147
897169790,62
906133963,150
918444151,150
947315029,33
947315029,35
976419155,40
979422496,169
988028630,24
122821928,13
124415004,169
130138598,150
147768937,150
148601860,66
169806960,45
190920493,47
194531093,13
199927428,27
217137104,150
217413143,147
248896979,150
256626030,67
276001187,136
318196357,13
323909827,150
327643562,9
329082967,12
332622533,164
353056042,13
358662759,177
363400073,123
406911355,9
411789537,150
431781395,177
439397353,13
442303461,45
463675119,13
468100841,150
470038907,150
527169610,96
574144217,12
596412090,45
621513258,6
624337535,88
637083143,43
652515193,169
662035938,1
672531623,169
743464760,150
744953420,1
750149538,177
756538357,27
758866157,130
762632862,150
820851769,150
839126161,88
840408786,27
846134383,177
859068365,150
881800578,83
897405300,13
908179166,169
921121531,45
923644033,45
950138288,10
950433264,169
953697739,9
955915544,67
956370155,97
968481110,8
968609237,126
971682706,120
979952774,177
987794995,123
106090302,65
106090302,160
113814973,150
117936851,177
122235542,146
136402046,28
142780989,33
142780989,35
147827989,76
170816054,150
195359342,150
196082017,169
199664895,20
228536081,9
239092279,169
239488059,57
256588785,97
271708677,13
293173735,95
332738002,177
334605712,135
338663522,161
408507797,67
