CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,hour,hour_interval,PD_DESC,LAW_CAT_CD,BORO_NM,ADDR_PCT_CD,PREM_TYP_DESC,Latitude,Longitude,Lat_Lon,Subway_Station_ID,Station_Name,Line_Name,Division,Station_Name_w_Line
438460167,2015-12-29,12:35:00,16.0,1200-1600,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,MANHATTAN,13.0,TRANSIT - NYC SUBWAY,40.738560221,-73.99968389600001,"(40.738560221, -73.999683896)",21,14 ST,123FLM,IRT,14 ST (123FLM)
269743840,2015-12-29,11:02:00,12.0,0800-1200,UNAUTH. SALE OF TRANS. SERVICE,MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.756043535,-73.986949544,"(40.756043535, -73.986949544)",67,42 ST-TIMES SQ,1237ACENQRS,IRT,42 ST-TIMES SQ (1237ACENQRS)
745563547,2015-12-29,09:40:00,12.0,0800-1200,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,18.0,TRANSIT - NYC SUBWAY,40.76229871,-73.98610723,"(40.76229871, -73.98610723)",83,50 ST,CE,IND,50 ST (CE)
227357447,2015-12-29,08:50:00,12.0,0800-1200,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,17.0,TRANSIT - NYC SUBWAY,40.762234770999996,-73.968188083,"(40.762234771, -73.968188083)",88,59 ST,456NQR,IRT,59 ST (456NQR)
734631377,2015-12-29,02:15:00,4.0,0000-0400,ASSAULT 3,MISDEMEANOR,MANHATTAN,5.0,TRANSIT - NYC SUBWAY,40.719404551,-74.001884563,"(40.719404551, -74.001884563)",135,CANAL ST,JNQRZ6,BMT,CANAL ST (JNQRZ6)
967471724,2015-12-28,22:45:00,0.0,2000-0000,"MARIJUANA, POSSESSION",VIOLATION,MANHATTAN,19.0,TRANSIT - NYC SUBWAY,40.773650293,-73.959856952,"(40.773650293, -73.959856952)",107,77 ST,6,IRT,77 ST (6)
727061189,2015-12-28,17:30:00,20.0,1600-2000,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,19.0,TRANSIT - NYC SUBWAY,40.767868519000004,-73.964077066,"(40.767868519, -73.964077066)",97,68ST-HUNTER CO,6,IRT,68ST-HUNTER CO (6)
619644391,2015-12-28,17:00:00,20.0,1600-2000,ASSAULT 3,MISDEMEANOR,MANHATTAN,1.0,TRANSIT - NYC SUBWAY,40.710335478000005,-74.0095456,"(40.710335478, -74.0095456)",145,CORTLANDT ST,R,BMT,CORTLANDT ST (R)
247250604,2015-12-28,00:23:00,4.0,0000-0400,CRIMINAL MIS 2 & 3,FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",65,42 ST-GRD CNTRL,4567S,IRT,42 ST-GRD CNTRL (4567S)
247250604,2015-12-28,00:23:00,4.0,0000-0400,CRIMINAL MIS 2 & 3,FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",160,GRD CNTRL-42 ST,4567S,IRT,GRD CNTRL-42 ST (4567S)
479477472,2015-12-23,14:00:00,16.0,1200-1600,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.750999048000004,-73.990624712,"(40.750999048, -73.990624712)",62,34 ST-PENN STA,123,IRT,34 ST-PENN STA (123)
836914121,2015-12-28,19:06:00,20.0,1600-2000,"MARIJUANA, POSSESSION",VIOLATION,MANHATTAN,25.0,TRANSIT - NYC SUBWAY,40.804384045999996,-73.937421669,"(40.804384046, -73.937421669)",13,125 ST,456,IRT,125 ST (456)
171969421,2015-12-28,19:00:00,20.0,1600-2000,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,13.0,TRANSIT - NYC SUBWAY,40.741557019,-73.989575907,"(40.741557019, -73.989575907)",50,23 ST,NR,BMT,23 ST (NR)
368275586,2015-12-28,16:25:00,20.0,1600-2000,"ASSAULT 2,1,UNCLASSIFIED",FELONY,MANHATTAN,1.0,TRANSIT - NYC SUBWAY,40.710228568000005,-74.00774568899999,"(40.710228568, -74.007745689)",153,FULTON ST,ACJZ2345,BMT,FULTON ST (ACJZ2345)
659809538,2015-12-28,14:30:00,16.0,1200-1600,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,13.0,TRANSIT - NYC SUBWAY,40.735211323,-73.991691398,"(40.735211323, -73.991691398)",24,14 ST-UNION SQ,456LNQR,IRT,14 ST-UNION SQ (456LNQR)
678676540,2015-12-28,13:24:00,16.0,1200-1600,UNAUTH. SALE OF TRANS. SERVICE,MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.752198698,-73.993465045,"(40.752198698, -73.993465045)",61,34 ST-PENN STA,ACE,IND,34 ST-PENN STA (ACE)
768630177,2015-12-28,09:00:00,12.0,0800-1200,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",65,42 ST-GRD CNTRL,4567S,IRT,42 ST-GRD CNTRL (4567S)
768630177,2015-12-28,09:00:00,12.0,0800-1200,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",160,GRD CNTRL-42 ST,4567S,IRT,GRD CNTRL-42 ST (4567S)
635062396,2015-12-28,05:00:00,8.0,0400-0800,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,MANHATTAN,32.0,TRANSIT - NYC SUBWAY,40.820445512,-73.936232347,"(40.820445512, -73.936232347)",27,145 ST,3,IRT,145 ST (3)
269850390,2015-12-28,04:50:00,8.0,0400-0800,"ROBBERY,PUBLIC PLACE INSIDE",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.756043535,-73.986949544,"(40.756043535, -73.986949544)",67,42 ST-TIMES SQ,1237ACENQRS,IRT,42 ST-TIMES SQ (1237ACENQRS)
291278247,2015-12-28,04:49:00,8.0,0400-0800,AGGRAVATED HARASSMENT 2,MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",65,42 ST-GRD CNTRL,4567S,IRT,42 ST-GRD CNTRL (4567S)
291278247,2015-12-28,04:49:00,8.0,0400-0800,AGGRAVATED HARASSMENT 2,MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",160,GRD CNTRL-42 ST,4567S,IRT,GRD CNTRL-42 ST (4567S)
988006192,2015-12-28,03:08:00,4.0,0000-0400,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,1.0,TRANSIT - NYC SUBWAY,40.706388512,-74.00950536,"(40.706388512, -74.00950536)",183,WALL ST,23,IRT,WALL ST (23)
972466016,2015-12-24,09:00:00,12.0,0800-1200,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,25.0,TRANSIT - NYC SUBWAY,40.7986333,-73.941620371,"(40.7986333, -73.941620371)",9,116 ST,6,IRT,116 ST (6)
913173230,2015-12-23,19:00:00,20.0,1600-2000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",FELONY,MANHATTAN,25.0,TRANSIT - NYC SUBWAY,40.804384045999996,-73.937421669,"(40.804384046, -73.937421669)",13,125 ST,456,IRT,125 ST (456)
557711238,2015-12-27,09:45:00,12.0,0800-1200,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.748297991,-73.988178144,"(40.748297991, -73.988178144)",58,34 ST-HERALD SQ,BDFMNQR,IND,34 ST-HERALD SQ (BDFMNQR)
517893060,2015-12-27,05:40:00,8.0,0400-0800,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,MANHATTAN,18.0,TRANSIT - NYC SUBWAY,40.765024079,-73.98483595,"(40.765024079, -73.98483595)",83,50 ST,CE,IND,50 ST (CE)
574334902,2015-12-27,04:00:00,8.0,0400-0800,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.756043535,-73.986949544,"(40.756043535, -73.986949544)",67,42 ST-TIMES SQ,1237ACENQRS,IRT,42 ST-TIMES SQ (1237ACENQRS)
372206415,2015-12-27,02:55:00,4.0,0000-0400,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.756043535,-73.986949544,"(40.756043535, -73.986949544)",67,42 ST-TIMES SQ,1237ACENQRS,IRT,42 ST-TIMES SQ (1237ACENQRS)
315331577,2015-12-27,02:55:00,4.0,0000-0400,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.756043535,-73.986949544,"(40.756043535, -73.986949544)",67,42 ST-TIMES SQ,1237ACENQRS,IRT,42 ST-TIMES SQ (1237ACENQRS)
265800054,2015-12-26,23:20:00,0.0,2000-0000,UNAUTH. SALE OF TRANS. SERVICE,MISDEMEANOR,MANHATTAN,26.0,TRANSIT - NYC SUBWAY,40.810772766999996,-73.95259159,"(40.810772767, -73.95259159)",12,125 ST,ACBD,IND,125 ST (ACBD)
946348414,2015-12-24,12:00:00,16.0,1200-1600,ASSAULT 3,MISDEMEANOR,MANHATTAN,5.0,TRANSIT - NYC SUBWAY,40.713143695999996,-74.004059506,"(40.713143696, -74.004059506)",140,CHAMBERS ST,JZ456,BMT,CHAMBERS ST (JZ456)
317443243,2015-12-26,22:02:00,0.0,2000-0000,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,MANHATTAN,25.0,TRANSIT - NYC SUBWAY,40.804384045999996,-73.937421669,"(40.804384046, -73.937421669)",13,125 ST,456,IRT,125 ST (456)
244424171,2015-12-26,19:50:00,20.0,1600-2000,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,5.0,TRANSIT - NYC SUBWAY,40.71843841,-74.00053174199999,"(40.71843841, -74.000531742)",135,CANAL ST,JNQRZ6,BMT,CANAL ST (JNQRZ6)
832861913,2015-12-26,16:35:00,20.0,1600-2000,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",FELONY,MANHATTAN,5.0,TRANSIT - NYC SUBWAY,40.724243555,-73.99778628,"(40.724243555, -73.99778628)",172,PRINCE ST,NR,BMT,PRINCE ST (NR)
225882163,2015-12-26,15:20:00,16.0,1200-1600,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",FELONY,MANHATTAN,18.0,TRANSIT - NYC SUBWAY,40.761431104,-73.984049836,"(40.761431104, -73.984049836)",81,50 ST,1,IRT,50 ST (1)
486616385,2015-12-26,12:20:00,16.0,1200-1600,"FORGERY,ETC.,UNCLASSIFIED-FELO",FELONY,MANHATTAN,9.0,TRANSIT - NYC SUBWAY,40.723658594,-73.9910218,"(40.723658594, -73.9910218)",43,2 AV,F,IND,2 AV (F)
114751377,2015-12-26,09:25:00,12.0,0800-1200,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,18.0,TRANSIT - NYC SUBWAY,40.76552838,-73.98003814399999,"(40.76552838, -73.980038144)",86,57 ST-7 AV,NQR,BMT,57 ST-7 AV (NQR)
132635900,2015-12-26,02:15:00,4.0,0000-0400,"ROBBERY,POCKETBOOK/CARRIED BAG",FELONY,MANHATTAN,10.0,TRANSIT - NYC SUBWAY,40.746588591999995,-73.997554564,"(40.746588592, -73.997554564)",48,23 ST,CE,IND,23 ST (CE)
555797346,2015-12-26,02:00:00,4.0,0000-0400,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",65,42 ST-GRD CNTRL,4567S,IRT,42 ST-GRD CNTRL (4567S)
555797346,2015-12-26,02:00:00,4.0,0000-0400,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",160,GRD CNTRL-42 ST,4567S,IRT,GRD CNTRL-42 ST (4567S)
239474564,2015-12-25,23:00:00,0.0,2000-0000,CRIMINAL MIS 2 & 3,FELONY,MANHATTAN,1.0,TRANSIT - NYC SUBWAY,40.713063941,-74.00722658699999,"(40.713063941, -74.007226587)",144,CITY HALL,R,BMT,CITY HALL (R)
652914175,2015-12-25,16:30:00,20.0,1600-2000,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,5.0,TRANSIT - NYC SUBWAY,40.712177476,-74.005563612,"(40.712177476, -74.005563612)",132,BROOKLYN BRIDGE,456JZ,IRT,BROOKLYN BRIDGE (456JZ)
108954636,2015-12-25,17:30:00,20.0,1600-2000,"MENACING,UNCLASSIFIED",MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.753490075,-73.980889948,"(40.753490075, -73.980889948)",77,5 AVE,7BDFM,IRT,5 AVE (7BDFM)
124766966,2015-12-25,11:13:00,12.0,0800-1200,"ASSAULT 2,1,UNCLASSIFIED",FELONY,MANHATTAN,28.0,TRANSIT - NYC SUBWAY,40.798841208,-73.952018585,"(40.798841208, -73.952018585)",7,110 ST-CPN,23,IRT,110 ST-CPN (23)
575109048,2015-12-25,05:00:00,8.0,0400-0800,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",65,42 ST-GRD CNTRL,4567S,IRT,42 ST-GRD CNTRL (4567S)
575109048,2015-12-25,05:00:00,8.0,0400-0800,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.751449824,-73.976050545,"(40.751449824, -73.976050545)",160,GRD CNTRL-42 ST,4567S,IRT,GRD CNTRL-42 ST (4567S)
