CMPLNT_NUM,Latitude,Longitude
705138134,40.731714801,-74.000957613
388964564,40.745603909,-73.903390603
752481950,40.812134274,-73.904182714
693476736,40.810772766999996,-73.95259159
582593243,40.83680208,-73.846679393
464040698,40.762234770999996,-73.968188083
360468177,40.748116393000004,-73.947356124
279308531,40.889398276,-73.898389469
708160424,40.805568769000004,-73.91449770000001
588020424,40.718564066,-73.98820145399999
532536074,40.733546682,-73.870349101
667967995,40.661582383,-73.91547882100001
213786674,40.702482133000004,-73.799922252
190983669,40.824040004000004,-73.944759612
193946318,40.762234770999996,-73.968188083
155126256,40.719404551,-74.001884563
503467506,40.64514168,-73.90231447800001
801742288,40.750999048000004,-73.990624712
911082729,40.804384045999996,-73.937421669
813671553,40.692557669,-73.990971896
735750325,40.73975965,-74.00252386300001
760346620,40.752198698,-73.993465045
174781345,40.702482133000004,-73.799922252
746648883,40.668806093,-73.93112156699999
692182001,40.790322425,-73.94768749800001
974047962,40.737203099,-73.983272598
775967142,40.748116393000004,-73.947356124
673307746,40.76889926,-73.98209493899999
257543686,40.843384201,-73.83689134
740142219,40.830722328,-73.827126059
545841366,40.674749917,-73.997769895
237726224,40.674749917,-73.997769895
111400996,40.785874639,-73.950930153
451328976,40.735211323,-73.991691398
455219067,40.752198698,-73.993465045
398611053,40.816088874,-73.917688689
436760939,40.83875187,-73.91375755600001
310443163,40.679284396999996,-73.92905931
697127931,40.630069369,-73.96136997
997365369,40.737203099,-73.983272598
726582225,40.756043535,-73.986949544
901099049,40.816088874,-73.917688689
356054955,40.816088874,-73.917688689
494916801,40.816088874,-73.917688689
523823148,40.64961338,-73.975485273
353463405,40.71843841,-74.00053174199999
162057916,40.805568769000004,-73.91449770000001
438460167,40.738560221,-73.99968389600001
269743840,40.756043535,-73.986949544
745563547,40.76229871,-73.98610723
706689110,40.700452423,-73.950758604
227357447,40.762234770999996,-73.968188083
313494326,40.847014334,-73.83228127
645035170,40.854667981,-73.86009266
342368382,40.869470477,-73.87986080399999
734631377,40.719404551,-74.001884563
967471724,40.773650293,-73.959856952
727061189,40.767868519000004,-73.964077066
619644391,40.710335478000005,-74.0095456
247250604,40.751449824,-73.976050545
709037955,40.742736825,-73.954108767
479477472,40.750999048000004,-73.990624712
423893934,40.746820464,-73.891753456
836914121,40.804384045999996,-73.937421669
171969421,40.741557019,-73.989575907
368275586,40.710228568000005,-74.00774568899999
659809538,40.735211323,-73.991691398
678676540,40.752198698,-73.993465045
225207343,40.68406075,-73.97745929199999
768630177,40.751449824,-73.976050545
146808760,40.856576728,-73.843893678
635062396,40.820445512,-73.936232347
269850390,40.756043535,-73.986949544
291278247,40.751449824,-73.976050545
988006192,40.706388512,-74.00950536
972466016,40.7986333,-73.941620371
913173230,40.804384045999996,-73.937421669
215382896,40.713806057,-73.951592824
394894088,40.66712415,-73.834651291
867119008,40.692241674,-73.987300996
196450012,40.822912308,-73.870041304
120627276,40.668080536,-73.950670755
697087360,40.878932741,-73.904787986
365320464,40.601958026999995,-73.99381105100001
168002949,40.818568336999995,-73.927313946
557711238,40.748297991,-73.988178144
150503634,40.632893841,-73.94769921
517893060,40.765024079,-73.98483595
574334902,40.756043535,-73.986949544
582523679,40.692557669,-73.990971896
372206415,40.756043535,-73.986949544
315331577,40.756043535,-73.986949544
243228126,40.830722328,-73.827126059
265800054,40.810772766999996,-73.95259159
409014216,40.745603909,-73.903390603
154520849,40.67034951,-73.988725475
946348414,40.713143695999996,-74.004059506
358134400,40.840234138,-73.917684114
317443243,40.804384045999996,-73.937421669
800664288,40.83875187,-73.91375755600001
244424171,40.71843841,-74.00053174199999
869027108,40.755344758,-73.84324659800001
832861913,40.724243555,-73.99778628
225882163,40.761431104,-73.984049836
490234496,40.57699549,-73.98152360899999
486616385,40.723658594,-73.9910218
114751377,40.76552838,-73.98003814399999
132635900,40.746588591999995,-73.997554564
555797346,40.751449824,-73.976050545
493286637,40.807567595,-73.91922722300001
460454878,40.684756979,-73.83112092
239474564,40.713063941,-74.00722658699999
652914175,40.712177476,-74.005563612
958169183,40.686242481,-73.82417615600001
219870995,40.83875187,-73.91375755600001
108954636,40.753490075,-73.980889948
276878026,40.750204204,-73.939825742
134054798,40.698814595,-73.918367222
124766966,40.798841208,-73.952018585
290928088,40.607940119,-73.816044933
575109048,40.751449824,-73.976050545
555886546,40.618953959,-73.999036085
581319149,40.822912308,-73.870041304
369938729,40.808012927,-73.963903684
609774897,40.724243555,-73.99778628
843235091,40.765024079,-73.98483595
796196669,40.689027417,-73.98615855199999
502747625,40.818568336999995,-73.927313946
827600885,40.714060101,-73.990200647
689926327,40.840234138,-73.917684114
243444684,40.592418431999995,-73.78899638899999
469809305,40.737203099,-73.983272598
453682747,40.86770011,-73.921215047
718828157,40.642804345,-73.979444266
613134730,40.736760557,-73.877660776
139933167,40.82357528,-73.937674609
451644724,40.757240531,-73.98979363699999
136448673,40.758030031,-73.98179465300001
150956083,40.756043535,-73.986949544
744270020,40.717843271999996,-73.957726112
217347584,40.756043535,-73.986949544
978815598,40.73975965,-74.00252386300001
620504637,40.816088874,-73.917688689
401274604,40.757240531,-73.98979363699999
509831414,40.579821319000004,-73.837200205
676479644,40.720636846,-74.005210778
